id,genre,track_name,artist_name,valence,energy
01cY7Cc7t5zPB64uj8NGxz,acoustic,The Boxer,Simon & Garfunkel,0.629,0.486
4wYIQRvu7JpP3h2v5o1IOe,acoustic,Chariot - Stripped Version,Gavin DeGraw,0.207,0.374
2hKdd3qO7cWr2Jo0Bcs0MA,acoustic,Drops of Jupiter (Tell Me),Train,0.497,0.638
4vojpVoYaj4myAkIcfNKIN,acoustic,U Smile,Justin Bieber,0.419,0.605
5gEbHse5x6o11g2Tef4AbR,acoustic,"Ain't No Sunshine - Live at Carnegie Hall, New York, NY - October 1972",Bill Withers,0.612,0.625
1ZXSLHLp5AJnCp12UXdYiO,acoustic,Sex On Fire,Alex Cornell,0.0568,0.408
2dLLR6qlu5UJ5gk0dKz0h3,acoustic,Royals,Lorde,0.337,0.428
3Ai44VQ9zklXdczSHCUutu,acoustic,The Fear,Ben Howard,0.457,0.575
23NPGXlSaIqWzvxIRhM2oG,acoustic,Under the Bridge,Red Hot Chili Peppers,0.513,0.49
7GILkDXz9y9x5KPHBKdrHA,acoustic,Spring för livet,Sara Varga,0.598,0.572
05lBuZWQ2OhQuzoCSIkvUF,acoustic,Holocene,Bon Iver,0.157,0.306
1PX5pscejxT7eXAy35y1Ej,acoustic,No Ordinary Love - Live at Eddie's Attic,The Civil Wars,0.389,0.535
6Xz1aikik2Qy81JXxpHvNB,acoustic,Utan dina andetag,Carolina Wallin Pérez,0.153,0.238
0GNI8K3VATWBABQFAzBAYe,acoustic,Stay,Rihanna,0.125,0.31
508HOiphnDt26e8ylIQlwP,acoustic,Jag gråter bara i regnet - Akustisk version,Newkid,0.41,0.248
4dHEQ1W1jRmNjjB0S7vB8V,acoustic,re:stacks,Bon Iver,0.304,0.0813
2hdhm6piUJnmKXmEmskXCg,acoustic,Save Tonight,Eagle-Eye Cherry,0.6,0.699
0jhPXwyqemNUwqbRZ2FuTG,acoustic,Michicant,Kina Grannis,0.339,0.084
6wZI4mdT8JwXgkGURnBQiq,acoustic,Say,John Mayer,0.541,0.723
7utRJ4BeYx85khzP3lKoBX,acoustic,Tears in Heaven,Eric Clapton,0.312,0.242
33e9HtOfO1ye1h8xQ7Foc9,acoustic,The Cave,Mumford & Sons,0.345,0.499
2vO1wr5wIEHqQmY4jWbuhi,acoustic,Angel,Jack Johnson,0.357,0.0568
3gqP2hxwgi6mb8FhtEe4zU,acoustic,The Wolves,Ben Howard,0.507,0.531
0GlsdjOLRPP07mRviS76hr,acoustic,Someone Like You,Nicholas McDonald,0.282,0.243
74XzT6sJuCIw0Py539SNQR,acoustic,"A Girl, a Boy, and a Graveyard",jeremy messersmith,0.457,0.136
2PVU8zHILp6jK4Q7W6rkz8,acoustic,We Can't Stop (feat. Bea Miller),Boyce Avenue,0.36,0.347
13yEuYLJYxPCLJR0KNOqpk,acoustic,High,James Blunt,0.446,0.602
1ZmbLKxfrWh2ejFjiZxZPW,acoustic,Better Off - Live From Spotify London,HAIM,0.419,0.702
0bTIb1hVHD656dTDcfPLQc,afrobeat,Jupa - Remix,Various Artists,0.962,0.688
6VZfMPn33u0NI0EzftvyBM,afrobeat,Tenere Taqqim Tossam,Tinariwen,0.865,0.802
6NPVjNh8Jhru9xOmyQigds,afrobeat,Happy,Various Artists,0.962,0.757
15aJ5bXwxMiTQCqCZrJtAA,afrobeat,Mo Gbono Feli Feli,Various Artists,0.51,0.859
6i2YA4WM3FqwyO7UX7XWbx,afrobeat,Zumba,Don Omar,0.838,0.9
4SfxzVkGFzgW0U83Y8brVk,afrobeat,Yala,Oumou Sangaré,0.912,0.891
5J91ybNMSHJCbb99lYUGv7,afrobeat,Miyaabele,Baaba Maal,0.511,0.548
4HMatLN0QNCQjghsYt5wzg,afrobeat,Marabi,Mafikizolo,0.663,0.437
0yfeyqPCZrkyC3hxb6ycIH,afrobeat,Mwana,Staff Benda Bilili,0.921,0.866
4WJ9gxU84Kv9TSXWfGVpRC,afrobeat,Yori Yori,Bracket,0.948,0.793
1PTGzgjNWP4upVlCp95I6i,afrobeat,Ara,Brymo,0.611,0.901
4iEBmWl1OzPIfNbZAV378G,afrobeat,Tchamantché,Rokia Traoré,0.933,0.355
2c6Ah6OH4ScnjniS0t5gTH,afrobeat,I Love U,P-Square,0.927,0.694
6vYkH6qUlMlmAP38yqeD1e,afrobeat,Kalabancoro,Richard Bona,0.627,0.806
5YgyvTZmdkIfFOnj8ri8mZ,afrobeat,Pakurumo,WizKid,0.967,0.737
4ewr2YZx2pXsxDTC4mWFob,afrobeat,Grazing In The Grass,Hugh Masekela,0.935,0.71
72I65ZHq5CvIxBttM71ane,afrobeat,Unissons Nous - feat. Keziah Jones,Amadou & Mariam,0.619,0.832
7sWqtUHJqs6T9926ygd52v,afrobeat,Jealous Guy,Various Artists,0.695,0.487
1jIkbwboZBGhyC16T5j4gf,afrobeat,Tabara,Vieux Farka Touré,0.525,0.347
27eniaCdcAbXMigvOtlnK1,afrobeat,Oliver Twist,D'banj,0.85,0.9
161fk9qHtXsdHPzIGLFHWo,afrobeat,Yabis,Various Artists,0.639,0.629
2wEKd4l4zJDfDFIxqDqex7,afrobeat,Ali's Here,Ali Farka Touré,0.777,0.884
1SV8vGscmm8g83FFSu948l,afrobeat,Ole Buruku,P-Square,0.865,0.81
5OB74KXeThUgS3VCuZTrlu,afrobeat,Diaraby Nene,Various Artists,0.837,0.448
3Qw5RpUX43bBgPK1YqXGwU,afrobeat,C'est la vie,Amadou & Mariam,0.768,0.789
4fqjn54bGei0mi7iazrzdk,afrobeat,Trouble Sleep Yanga Wake Am,Fela Kuti,0.614,0.561
60UNH3Bd5rEkqBR694q7MD,afrobeat,Juju,Ice Prince,0.878,0.708
2xgnTqh4VipHycDrzUv2s7,afrobeat,Dunya Salam,Various Artists,0.203,0.136
3z4y2ScH8vWAgwUUTZ5SJd,afrobeat,Shagu,Mulatu Astatke,0.95,0.632
6MBZHOilZfNn5cVNRYXjVT,afrobeat,Jupa Original,Various Artists,0.859,0.677
24xmFCREF5JiqKBhLHqgKL,afrobeat,King of Kings,Ladysmith Black Mambazo,0.392,0.0522
6OZkU6QsLT5gvOtPoxSNq9,afrobeat,You Bad,Wande Coal,0.802,0.744
1JFQZHroU4ZM2kiN2tdnRw,afrobeat,Kounandi,Rokia Traoré,0.241,0.137
5jpppsCfiupH7Ar5bxThow,afrobeat,Global Threat,Sierra Leone's Refugee All Stars,0.871,0.714
45ju38jQF05HOm1sInyFHG,afrobeat,Jambo Bwana,Them Mushrooms,0.838,0.575
0kDTXJ6dFJAT0l1f2NZN8A,afrobeat,Diaraby,Alessio Vlad,0.323,0.23
2XY16w5EeeqEbDgNkU4NnE,afrobeat,Din Din Wo,Habib Koité,0.886,0.804
4xIni3enaiOidNXyY0aGiu,afrobeat,Lanchi Biye with Tilahun Gessesse,Mulatu Astatke,0.371,0.194
2DrGFzrWGzAaIV3Q6vBOdC,afrobeat,Kadi Kadi,Ali Farka Touré,0.756,0.479
3mYsWA2ClF84ZLroBpreo1,afrobeat,Pot Belly,Freshlyground,0.311,0.46
6O0P38dfkVUtTCRSgMEUPW,afrobeat,Tekere,Various Artists,0.95,0.91
6H0nXYPj3l6aSBtq7E6zkv,afrobeat,Ye Te Oh,Papa Wemba,0.688,0.747
4eLSCSELtKxZwXnFbNLXT5,afrobeat,On Top Of The World,Imagine Dragons,0.768,0.923
2jB4SD7G7d5F1lI1DCoVJz,afrobeat,Dzoka uyamwe,Oliver Mtukudzi,0.961,0.788
3bm05gBRMloCF4BV4p8m19,afrobeat,Un Gaou A Oran,Magic System,0.927,0.958
6VhfsXyTnRRnNX77dQO1WA,afrobeat,Shining Star,Nneka,0.532,0.595
69BsoeZ9rmSVfQTnMIoWlg,afrobeat,Coulibaly,Amadou & Mariam,0.795,0.949
0x3T8PGQH5xeZ1towZqecI,afrobeat,Ndihamba Nawe,Mafikizolo,0.371,0.855
0IUYTmVDq3tmohilYghzt5,afrobeat,Bikowa,Orchestra Baobab,0.792,0.534
52sqUHimT5hjxbkE7DUfJQ,afrobeat,Makambo,Geoffrey Oryema,0.276,0.136
14BhrzVVp17v3miP1tlj8q,afrobeat,Chop & Quench (Jeun Ko Ku),Fela Kuti,0.613,0.686
400CBFfdPAqN2jt6C2qoUs,afrobeat,Bum Bum,Various Artists,0.914,0.536
03tyyOcWAjmBB6XjdxF0w3,afrobeat,Sina Makosa,Les Wanyika,0.711,0.669
0afH2hwfJjXRj0EzaU8hFY,afrobeat,Oyi (Remix),Flavour,0.733,0.898
5YjLDu0oNJV4rxrI2E7vo7,afrobeat,Fimani,Habib Koité,0.849,0.469
77NxWmxauHL0k1Lo5TOliE,afrobeat,Kanou,Ballaké Sissoko,0.726,0.499
7vPKfwEsnAI5vVtuKQXK8l,afrobeat,Tenidagh Hegh Djeredjere,Tinariwen,0.677,0.707
71uMowNE0zT9M0FI8MoGBm,afrobeat,Fanta bourama,Various Artists,0.651,0.657
6KgrFtfas1ATDwuIiTL3wc,afrobeat,Erdi,Ali Farka Touré,0.775,0.703
77eEcHR7onx8Bf1687zbsM,afrobeat,Alu Jon Jonki Jon,Fela Kuti,0.773,0.873
0uZbMcQP8LWeFKXf1h3KQT,afrobeat,Wily Kataso - feat. Tunde & Kyp of TV On The Radio,Amadou & Mariam,0.882,0.77
7ATa1G9YTRrJtUXFHFs88z,afrobeat,I Faram Gami I Faram,Mulatu Astatke,0.908,0.502
1mDZpgKx9Xpg6ijl9DvdA6,afrobeat,Sa Golo,Boubacar Traoré,0.634,0.769
3EREjXvpkJSZlbwdMLVpig,afrobeat,Nguva Ye Kufara,Chiwoniso,0.682,0.756
2KO00cY85Xc87Ix7yeCCtl,afrobeat,Ledi Coumbe,Ali Farka Touré,0.755,0.449
1IKagUBLAAddwgaU7lfHeh,afrobeat,Beaux dimanches,Amadou & Mariam,0.962,0.899
2he169BxArR5AMYlgJIAXr,afrobeat,Zen,Rokia Traoré,0.861,0.458
7bmZVze4Ye5wryD8twVYLx,afrobeat,Sáré Kon Kon,Antibalas,0.945,0.776
2pfHT1jlF2OaRaKYNjRfqs,afrobeat,Aluguntugui,Various Artists,0.78,0.837
07O7ypl5bdCKUop3MW7N9F,afrobeat,Diarabi,Boubacar Traoré,0.531,0.455
5unfeZUhKhICP73CDYBW4N,afrobeat,Call Me Maybe,Carly Rae Jepsen,0.648,0.615
1PbITjNMSfOsWL89DsaLSH,afrobeat,Gnidjougouya,Amadou & Mariam,0.337,0.667
2SGfKTYnLLX1UCEA84O6IZ,afrobeat,Zombie,Various Artists,0.588,0.965
3Ua7O14g34JlkpisL2SKLk,afrobeat,Sinebar,Youssou N'Dour,0.638,0.895
2szTdqaH9OyFrNdb952dzV,afrobeat,N’Teri,Habib Koité,0.471,0.495
7vzhCpNntdmzI3yop3UckE,afrobeat,Ai Du,Ali Farka Touré,0.408,0.225
2bWs6hFVGp5YvDYCW1pW0Z,afrobeat,Sexy Ladies,Various Artists,0.0,0.0
0ltBH1JNzSvQJPjJpvTu9B,afrobeat,Whistle,Flo Rida,0.75,0.933
4pRMuXVS6GXscFYnNQYMcp,afrobeat,Shake,Flavour,0.955,0.949
5JetF2yqEh2GZBu5J5oe2t,afrobeat,Muchana (Zouk Love),Kanda Bongo Man,0.879,0.766
57BqpzkQWkCOxASHhNEZl0,afrobeat,Aon Aon,Tabu Ley Rochereau,0.714,0.358
5CFdHtJAlGttkKbAJjJEV7,afrobeat,Juru nani - feat. Kasse Mady Diabate,Bassekou Kouyate,0.925,0.59
2S7UleM5WKsd3AK3tBRLrP,afrobeat,Stupid Love,Olamide,0.853,0.951
4IFMYZUdavCtTraiqLSWue,afrobeat,KM Même Pas Fatigués,Khaled,0.914,0.748
300DzFkBAgf9PgPbl0ta4o,afrobeat,Khona,Dschinghis Khan,0.448,0.655
5ft8cAiZ0zvICdvry3Byc0,afrobeat,Olufunmi,Styl-Plus,0.749,0.676
2U4kPiipwfc2oHmd0nGoj5,afrobeat,Dutty Love,Don Omar,0.899,0.873
6UaRii9AH6Zss9xNMEQ2M9,afrobeat,Love The Way You Lie,Eminem,0.638,0.922
6Nd9aoaL1lV3013tP5Meff,afrobeat,Black President,Eric Legnini,0.926,0.73
4qjPqmHjPr17SxXD4yTGUR,afrobeat,Eko Ile,Fela Kuti,0.828,0.747
7a37qKKyo2ZrtuBxeaIMvw,afrobeat,Queen Bee,Toumani Diabaté,0.687,0.48
2aY8kR8NJwa04C7fIcS74W,afrobeat,Jaman Moro,Afel Bocoum,0.888,0.401
4d4mfz1H6PsC9QPr1w8rfD,afrobeat,Sedjedo,Angelique Kidjo,0.854,0.705
6S1cd5F5cpflZq6bAXQmg1,afrobeat,Nomvula (After the Rain),Freshlyground,0.418,0.295
4Jh36W007VJNNj0O7TSZRe,afrobeat,Nchi Ya Kitu Kidogo,Eric Wainaina,0.919,0.703
75aQmWz5AQbktCQIo9etDp,afrobeat,Muloma (Let Us Be United),Sierra Leone's Refugee All Stars,0.729,0.801
6ma7kNoIMwE9OgMwVhL3JH,afrobeat,Sawt El-wahuch (Le Chant Des Fauves),Terakaft,0.432,0.458
00pbW1N78AUv5s1jIQ13kN,afrobeat,Hommage a Tonton Ferrer,Orchestra Baobab,0.743,0.481
1PpBP0gGdHX9VKNd1WyOUb,afrobeat,Yèrè uolo,Rokia Traoré,0.936,0.58
6JVmMksA1Im1Df0QY54pMM,afrobeat,Baby Oku (Dance),Flavour,0.907,0.93
51UtgWS4z1eMPuLQOzPtNH,alt-rock,Amber,311,0.748,0.727
4Gy9xdG5wSNJQYKCVyWvN4,alt-rock,Mind to Be Had,Blonde Redhead,0.315,0.628
2HaUEu0wAO5AOT0UB3i0LO,alt-rock,Living In A Dream,Finger Eleven,0.71,0.922
4YN94yxYWFfhk9YbmOIqR4,alt-rock,Sucked Out,Superdrag,0.743,0.767
0ketpd3rUQawdY4ROt4PxU,alt-rock,I Want Your Love,Toadies,0.308,0.766
2daWGEfV5nmfEOb53S70Pi,alt-rock,Gone To The Movies,Semisonic,0.612,0.32
1HZ3cUZUw5htSFmah1V8Ko,alt-rock,Shine,Collective Soul,0.353,0.423
0q6LuUqGLUiCPP1cbdwFs3,alt-rock,On Melancholy Hill,Gorillaz,0.578,0.739
1IAxdqQ3fUpH8i2iUIPhfp,alt-rock,"Lover, You Should've Come Over",Jeff Buckley,0.168,0.604
7C7gszJBmB2ODqFyBsJkIb,alt-rock,Entertain,Sleater-Kinney,0.327,0.943
1iaqBmSTRpaFdMdtL5gzGo,alt-rock,The Only Way Out,Bush,0.275,0.771
6qHdoyFDpGB7wVW5R0iExG,alt-rock,The Howl Of The Winds,The Thermals,0.622,0.884
3dN6yDtyNu55dqoygX4AQ5,alt-rock,Nearly Lost You,Screaming Trees,0.334,0.968
5pBcJFUpSQJIcZGEwlR7og,alt-rock,"Awake, Arise!",Grant Hart,0.102,0.842
5yHWD04wWpIYFFSvbIAxIr,alt-rock,This Is Gonna Hurt,Hoobastank,0.394,0.936
1G8g2LoR09NtrG4y8NQcJL,alt-rock,Ashes to Ashes,Faith No More,0.358,0.866
5ytrravfTnogHpfGzlqlHu,alt-rock,Something to Remind You,Staind,0.218,0.295
4ryq4K6ZKg7MGptYlL7ES2,alt-rock,Jokerman,Various Artists,0.465,0.876
1AuoE6E9GGzncRpGg0Y7vG,alt-rock,It's Your Choice,Brendan Benson,0.746,0.768
0rSSzTSx8TpBMtw8xqfto5,alt-rock,My Favourite Dress,The Wedding Present,0.657,0.876
1lL8ttg9HNdyuN0VxD7c75,alt-rock,Photograph,The Verve Pipe,0.316,0.756
5FFowl1Ve4S5OehL6OywSg,alt-rock,Waiting Room,Fugazi,0.54,0.727
6P98yCrDAOq32mjR2iCfDI,alt-rock,Slow Slow Fly,The Presidents Of The United States Of America,0.861,0.559
6LvQRDyjrsnmFVjfZPdUy4,alt-rock,I Am Machine,Three Days Grace,0.45,0.96
1OFvNaRHw4QkUzWf1aZw1V,alt-rock,Scooby Snacks,Fun Lovin' Criminals,0.336,0.563
7LdKMBKthcdBnAqlAIGqCB,alt-rock,See A Little Light,Bob Mould,0.783,0.774
69O12Wz4e6bosZWiYajxQu,alt-rock,All Night Long,Therapy,0.697,0.923
2pN2KIEGnmYtjt9Pz7WvBs,alt-rock,The Great Boston Molasses Flood,The Dead Milkmen,0.693,0.911
3Xs2N8U8Zf1e45PnExkPTy,alt-rock,Simple Machine,Guster,0.781,0.794
4DfGcn3VVcdmmJl1PWNAkv,alt-rock,Karate Lips,Electric Six,0.472,0.965
0wEAdo7Vmf9SqE4UMygI1m,alt-rock,Invisible,Dismemberment Plan,0.292,0.904
7cuIQgdm380dPia0PyQAc8,alt-rock,The Last In Line,Various Artists,0.397,0.942
5u6fnmRO5V0PTl5M2Eekeu,alt-rock,Cold Hard Bitch,Jet,0.357,0.895
3672j9qcUufXuGwVoXHaeK,alt-rock,Mrs. Robinson,The Lemonheads,0.837,0.936
1HBZrDjYFOuBcFR0GuxuRV,alt-rock,It's Time To Come Home,The Rentals,0.136,0.662
5Cr8DxrjyP2fS93XjGXlFl,alt-rock,Tones Of Home,Blind Melon,0.844,0.808
2Cla3UoHpM6u92PeGzBytm,alt-rock,Popular Mechanics For Lovers,Beulah,0.767,0.69
4L2S9GbwEgwfSbHjTCvNQX,alt-rock,Say Hello 2 Heaven,Temple Of The Dog,0.321,0.647
3dx6UrqmcFrykY1pVyE4Sb,alt-rock,Defeatist Anthem (Harry and I),Blonde Redhead,0.517,0.335
0nNVR2iDM3eVzEgMi78vQm,alt-rock,Let Me Go,3 Doors Down,0.491,0.863
0Qs72vhVJ10C7lsyzRCTuA,alt-rock,Strut,Lenny Kravitz,0.891,0.884
7sZD8tOmfRUObogGX8VzfZ,alt-rock,Billie Jean,Chris Cornell,0.408,0.625
3HWxpLKnTlz6jE3Vi5dTF2,alt-rock,I Am Trying to Break Your Heart,Wilco,0.429,0.536
2TxYbRGmKGbVnSFRWlp1Qx,alt-rock,Skinny Little Bitch,Hole,0.476,0.969
37EJtTS7jT5WUyXGZzrwnI,alt-rock,Santa Monica,Everclear,0.387,0.942
6zJyAMMY0Zl4ZzR3gVTqE8,alt-rock,Close to the Sun,Guano Apes,0.367,0.867
6lSr3iZTC144PKhvbPFzMp,alt-rock,Blurry,Puddle Of Mudd,0.523,0.938
6DzrElyy0I3nqqInJRPXfz,alt-rock,Houston Hades,Stephen Malkmus & The Jicks,0.692,0.525
5mZrhh1eP7YJpdMyOogroU,alt-rock,Andrew in Drag,The Magnetic Fields,0.449,0.725
351zlSrEZvnCB9Nbxi0dz0,alt-rock,Do It Nation,Half Japanese,0.649,0.968
22cmWcCul4Px0b4rnC4fxo,alt-rock,Lotus Flower,Radiohead,0.661,0.686
7c1Dar0pIAW7w5TzaGjt9t,alt-rock,Jane Says,Jane's Addiction,0.496,0.597
3rwTe4gqepNe22qyecMeMf,alt-rock,Indian Summer,Beat Happening,0.601,0.584
6mH3sA9TMhgALjjWO0LXW2,alt-rock,1000hp,Godsmack,0.429,0.955
22b8heZ3eqjtXEAafnxFM5,alt-rock,Stone,Alice In Chains,0.543,0.879
6tb7flAIRdJVuUfdgwbhJa,alt-rock,Tahitian Moon,Perry Farrell,0.35,0.716
2LUVo82IKIpCuBNSaqF0G8,alt-rock,Corona,Minutemen,0.977,0.913
72HFZtXCLcRwYYQO0kJIvi,alt-rock,Tropical Ice-land,Various Artists,0.651,0.859
4gXpT8PC0oGzO8HXuYYvNF,alt-rock,Natural One,Kids Original Motion Picture Soundtrack,0.642,0.644
18eR1w9NXigoppVRpdc4yk,alt-rock,Da Vinci,Weezer,0.578,0.631
2TTAPkrGQQOZkaUTUlt21Q,alt-rock,Strange,Galaxie 500,0.626,0.844
0Jv0PJz6LZdCygPsFnML3a,alt-rock,Novocaine For The Soul,Eels,0.349,0.765
1Fx2xsBMTwd8aHETKE2mOn,alt-rock,If the River Was Whiskey,Spin Doctors,0.962,0.862
1BYOCen8xzUBYr5C6SYhuF,alt-rock,The Doomsday Book,...And You Will Know Us by the Trail of Dead,0.442,0.869
55MEbqyxZphjB0beZ7YT0f,alt-rock,Birthday,The Sugarcubes,0.221,0.657
5ncXRvta3wRQq2wllj9SUY,alt-rock,Drugs (Live at Leeds),Giant Drag,0.0645,0.918
